特征类别,特征名称,模型,模型类别,特征描述
时域特征,基频异常波动,PRAAT/librosa.f0_track,第一类：完全不需要部署模型（基于信号处理 / 统计方法即可实现）,正常成人语音范围85-255Hz，成年男性：85-180Hz，成年女性：165-255Hz ，儿童：250-400Hz。 电子变声器会产生不自然的F0跳跃，真实人声F0变化是连续平滑的
时域特征,均方根能量,librosa.feature.rms,第一类：完全不需要部署模型（基于信号处理 / 统计方法即可实现）,信号在时间范围内的能量平均值，可用于检测录音音量异常波动。呼叫中心：稳定高RMS+低波动，户外场景：周期性环境噪声干扰
时域特征,起音时间,scipy.signal.find_peaks,第一类：完全不需要部署模型（基于信号处理 / 统计方法即可实现）,声音从开始到达到最大振幅的时间，电子合成音通常有更快的起音时间
时域特征,过零率,librosa.feature.zero_crossing_rate,第一类：完全不需要部署模型（基于信号处理 / 统计方法即可实现）,信号在单位时间内穿过零点的次数，人声通常比机械音具有更高的过零率
时域特征,短时能量突变,numpy.diff + threshold,第一类：完全不需要部署模型（基于信号处理 / 统计方法即可实现）,能量包络突变检测（剪辑痕迹）
时域特征,抖动(jitter),PRAAT jitter算法,第一类：完全不需要部署模型（基于信号处理 / 统计方法即可实现）,基频微扰动程度
时域特征,颤动(shimmer),PRAAT shimmer算法,第一类：完全不需要部署模型（基于信号处理 / 统计方法即可实现）,振幅微扰动程度
频域特征,谱质心,librosa.feature.spectral_centroid,第一类：完全不需要部署模型（基于信号处理 / 统计方法即可实现）,频谱能量分布的中心点，反映声音的"明亮度"，电话录音通常谱质心较低
频域特征,MFCC（梅尔频率倒谱系数）,librosa.feature.mfcc,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,模拟人耳听觉特性的特征，是声纹识别最重要的特征之一
频域特征,频谱平坦度,scipy.stats.gmean/amean,第一类：完全不需要部署模型（基于信号处理 / 统计方法即可实现）,量化信号接近噪声的程度，高值可能表示背景噪声干扰
频域特征,频谱通量,numpy.diff(spectrogram),第一类：完全不需要部署模型（基于信号处理 / 统计方法即可实现）,相邻帧频谱的变化程度，可用于检测语音编辑痕迹
频域特征,失谐度,FFT谐波分析,第二类：需要部署低参数量小模型（<10MB 轻量级模型 / 传统机器学习）,泛音与基频整数倍的偏差程度，自然语音有一定失谐度
频域特征,高频能量比,FFT频段能量统计,第一类：完全不需要部署模型（基于信号处理 / 统计方法即可实现）,>4kHz频段能量占比（检测录音设备）
频域特征,谐噪比(HNR),PRAAT HNR算法,第二类：需要部署低参数量小模型（<10MB 轻量级模型 / 传统机器学习）,谐波与噪声能量比（纯净度指标）
频域特征,共振峰轨迹,LPC线性预测编码,第四类：需要部署模型且业界方案不成熟（需定制开发 / 研究前沿方向）,F1-F4动态变化模式
频域特征,频谱滚降,librosa.feature.spectral_rolloff,第二类：需要部署低参数量小模型（<10MB 轻量级模型 / 传统机器学习）,高频成分衰减斜率（电话录音检测）
频域特征,量化失真,FFT谐波失真分析,第一类：完全不需要部署模型（基于信号处理 / 统计方法即可实现）,8kHz以下采样音源的谐波失真
频域特征,压缩伪影,频谱空洞检测算法,第二类：需要部署低参数量小模型（<10MB 轻量级模型 / 传统机器学习）,MP3等压缩导致的频谱空洞
感知特征,响度,psychoacoustic loudness,第一类：完全不需要部署模型（基于信号处理 / 统计方法即可实现）,人耳感知的声音强度，可用于检测音量标准化处理
感知特征,尖锐度,psychoacoustic sharpness,第一类：完全不需要部署模型（基于信号处理 / 统计方法即可实现）,高频能量占比，高尖锐度可能表示电子设备失真
感知特征,信噪比(SNR),信号功率/噪声功率,第一类：完全不需要部署模型（基于信号处理 / 统计方法即可实现）,人声与背景噪声能量比
感知特征,噪声谱平坦度,噪声段频谱平坦度,第一类：完全不需要部署模型（基于信号处理 / 统计方法即可实现）,背景噪声频谱平坦度检测
感知特征,突发噪声计数,能量阈值检测,第一类：完全不需要部署模型（基于信号处理 / 统计方法即可实现）,非语音段突发噪声次数
感知特征,发声障碍指数,嘶哑声特征提取,第四类：需要部署模型且业界方案不成熟（需定制开发 / 研究前沿方向）,嘶哑声检测（声带病变模仿）
感知特征,气息音占比,气息音检测算法,第四类：需要部署模型且业界方案不成熟（需定制开发 / 研究前沿方向）,非正常气息声持续时间
语言学特征,方言,Qwen-audio,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,属于哪种方言，XLSR-53方言模型，声称北京户籍但带广东口音
声纹生物特征,黑产声纹库匹配,声纹识别模型,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,与注册黑产库声纹相似度
声纹生物特征,本人声纹库匹配,声纹识别模型,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,与注册本人声纹相似度
声纹生物特征,通话前后声纹匹配,声纹识别模型,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,同一通电话前后声纹巨大差异，可能是亲属接听，转接，黑产等。
语音行为特征,应答延迟,VAD+时间统计,第二类：需要部署低参数量小模型（<10MB 轻量级模型 / 传统机器学习）,响应时间标准差
语音行为特征,抢话频次,VAD+重叠检测,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,坐席用户交叉发言统计，用户是否强势抢话
语音行为特征,语速突变,音节检测+速度计算,第二类：需要部署低参数量小模型（<10MB 轻量级模型 / 传统机器学习）,音节速度方差
语音行为特征,情绪平稳度,音高/能量波动统计,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,音高/能量波动指数
语音行为特征,静默片段,VAD+静默检测,第二类：需要部署低参数量小模型（<10MB 轻量级模型 / 传统机器学习）,非自然停顿占比，坐席说完，用户沉默一段时间再说话，【时长/频率】
语音行为特征,温柔与否,情绪识别模型/Qwen-audio,第四类：需要部署模型且业界方案不成熟（需定制开发 / 研究前沿方向）,语气是霸道还是柔和（更低沉的人投诉概率更高）
语音行为特征,情绪识别,情绪识别模型/Qwen-audio,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,用户的情绪是怎么样的
语音行为特征,证件号语音背诵流利度,语音-文本对齐模型,第四类：需要部署模型且业界方案不成熟（需定制开发 / 研究前沿方向）,不是自己的证件会背的不够流利
NLP特征,术语密度,ASR模型+词频统计,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,专业词汇出现频率
NLP特征,特殊术语,ASR模型+关键词匹配,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,特殊术语出现与否
NLP特征,话术重复度,ASR模型+Embedding模型,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,文本相似度分析
